ID,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
492,Keilor East,1/36 Phillip Rd,2,h,380000,S,Nelson,14/5/16,12.8,3033,2,1,1,116,,,Moonee Valley,-37.748,144.8696,Western Metropolitan,5629
493,Keilor East,67 Prospect Dr,5,h,808000,S,Nelson,18/6/16,12.8,3033,5,2,2,561,,,Moonee Valley,-37.748,144.8552,Western Metropolitan,5629
494,Keilor East,83 Wyong St,3,h,785000,S,Barry,18/6/16,12.8,3033,3,1,2,606,141,1965,Moonee Valley,-37.7311,144.8663,Western Metropolitan,5629
495,Keilor East,81 Quinn Gr,5,h,700000,PI,Nelson,22/5/16,12.8,3033,4,2,2,629,,,Moonee Valley,-37.7423,144.869,Western Metropolitan,5629
496,Keilor East,23 Prospect Dr,3,h,600000,S,Bells,22/8/16,12.8,3033,3,1,1,565,125,1970,Moonee Valley,-37.7498,144.8585,Western Metropolitan,5629
497,Keilor East,83 Milleara Rd,3,h,875000,PI,Barry,26/7/16,12.8,3033,3,2,2,928,130,1970,Moonee Valley,-37.7362,144.8643,Western Metropolitan,5629
498,Kensington,47 Barnett St,3,h,961000,S,Jellis,7/5/16,4.2,3031,3,1,1,235,,,Melbourne,-37.7925,144.9323,Northern Metropolitan,5263
499,Kensington,10 Altona St,2,h,905000,S,Edward,8/10/16,4.2,3031,2,2,1,138,126,1999,Melbourne,-37.799,144.9276,Northern Metropolitan,5263
500,Kensington,41 Barnett St,3,h,1165000,S,Nelson,10/9/16,4.2,3031,3,1,0,239,135,1910,Melbourne,-37.7923,144.9324,Northern Metropolitan,5263
501,Kensington,11 Nottingham St,5,h,1710000,PI,Nelson,10/9/16,4.2,3031,5,2,2,566,270,1890,Melbourne,-37.7893,144.933,Northern Metropolitan,5263
502,Kensington,107/88 Altona St,1,u,360000,VB,Dingle,10/12/16,4.2,3031,1,1,1,4267,,,Melbourne,-37.7966,144.9254,Northern Metropolitan,5263
503,Kensington,28/18 Mawbey St,3,u,551000,S,Woodards,10/12/16,4.2,3031,3,1,1,4440,,,Melbourne,-37.7898,144.9233,Northern Metropolitan,5263
504,Kensington,25 Rogan La,2,t,700000,S,Village,19/11/16,4.2,3031,2,1,3,62,,1997,Melbourne,-37.7917,144.9231,Northern Metropolitan,5263
505,Kensington,42 McCracken St,4,h,1365000,S,Edward,22/8/16,4.2,3031,4,2,1,242,,,Moonee Valley,-37.7913,144.9275,Northern Metropolitan,5263
506,Kensington,8/33 Rankins Rd,1,u,370000,PI,Nelson,22/8/16,4.2,3031,1,1,2,0,,,Melbourne,-37.7896,144.9321,Northern Metropolitan,5263
507,Kensington,5 Rogan La,2,h,868000,S,Nelson,25/2/17,4.2,3031,2,1,1,97,103,2000,Melbourne,-37.7921,144.9234,Northern Metropolitan,5263
508,Kensington,1/5 Wight St,2,t,773000,S,Rendina,26/7/16,4.2,3031,2,1,1,0,90,1970,Melbourne,-37.7937,144.9295,Northern Metropolitan,5263
509,Kensington,10 Mulgrave St,2,h,786000,S,Biggin,28/8/16,4.2,3031,2,1,0,149,,,Melbourne,-37.7908,144.9309,Northern Metropolitan,5263
510,Kew,30/20 Pakington St,2,u,520000,VB,Jellis,3/12/16,5.6,3101,2,1,1,0,12,,Boroondara,-37.804,145.0347,Southern Metropolitan,10331
511,Kew,8 Campbell St,3,h,1528500,SP,Fletchers,4/3/17,5.6,3101,3,1,1,375,,,Boroondara,-37.8015,145.0505,Southern Metropolitan,10331
512,Kew,14/25 Derby St,2,u,588000,S,Jellis,4/6/16,5.6,3101,2,1,1,0,,1982,Boroondara,-37.8034,145.0369,Southern Metropolitan,10331
513,Kew,57 Cobden St,4,h,2130000,S,Jellis,6/8/16,5.6,3101,4,2,2,649,,1985,Boroondara,-37.802,145.036,Southern Metropolitan,10331
514,Kew,11/912 Glenferrie Rd,2,u,650000,VB,Fletchers,6/8/16,5.6,3101,2,1,1,0,,,Boroondara,-37.8083,145.0382,Southern Metropolitan,10331
515,Kew,31 Miller Gr,3,h,2310000,S,Walsh,10/12/16,5.6,3101,3,1,2,782,175,1920,Boroondara,-37.8107,145.0219,Southern Metropolitan,10331
516,Kew,3/8 Mountain Gr,2,h,890000,S,Jellis,10/12/16,5.6,3101,2,1,1,0,,1970,Boroondara,-37.8128,145.0588,Southern Metropolitan,10331
517,Kew,47 Brougham St,3,h,1668000,S,Caine,11/2/17,5.6,3101,3,2,2,289,,,Boroondara,-37.8048,145.0303,Southern Metropolitan,10331
518,Kew,1/204 Brougham St,3,t,800000,S,LITTLE,12/11/16,5.6,3101,3,2,2,848,97,1970,Boroondara,-37.796,145.0324,Southern Metropolitan,10331
519,Kew,4/35 Studley Park Rd,2,u,580000,PI,Nelson,13/8/16,5.6,3101,2,1,1,0,90,1970,Boroondara,-37.8071,145.0243,Southern Metropolitan,10331
520,Kew,3 Oshaughnessy St,3,h,1905000,S,Abercromby's,14/5/16,5.6,3101,4,2,2,591,190,1910,Boroondara,-37.812,145.0268,Southern Metropolitan,10331
521,Kew,2/54 Studley Park Rd,2,u,765000,S,Marshall,15/10/16,5.6,3101,2,1,2,0,,1960,Boroondara,-37.8066,145.0211,Southern Metropolitan,10331
522,Kew,23 Gellibrand St,4,h,2117000,S,Fletchers,17/9/16,5.6,3101,4,1,2,520,,,Boroondara,-37.8082,145.0323,Southern Metropolitan,10331
523,Kew,2A Churchill St,3,h,1476000,S,Jellis,18/3/17,5.6,3101,3,2,2,288,203,1997,Boroondara,-37.7997,145.046,Southern Metropolitan,10331
524,Kew,30 College Pde,4,h,2590000,S,Marshall,18/3/17,5.6,3101,4,2,2,660,215,1928,Boroondara,-37.8124,145.0361,Southern Metropolitan,10331
525,Kew,10/7 College Pde,3,u,720000,S,Jellis,22/5/16,5.6,3101,3,1,1,0,,,Boroondara,-37.8135,145.0355,Southern Metropolitan,10331
526,Kew,61 Molesworth St,3,h,3650000,VB,Jellis,22/8/16,5.6,3101,3,2,3,1353,282,1960,Boroondara,-37.8006,145.0218,Southern Metropolitan,10331
527,Kew,27 Earl St,3,h,1410000,PI,Fletchers,24/9/16,5.6,3101,3,1,1,519,,,Boroondara,-37.796,145.0377,Southern Metropolitan,10331
528,Kew,51 Princess St,4,h,2460000,S,Marshall,24/9/16,5.6,3101,4,4,2,737,293,1910,Boroondara,-37.8042,145.0291,Southern Metropolitan,10331
529,Kew,2/78 Studley Park Rd,3,u,955000,S,Marshall,25/2/17,5.6,3101,3,2,2,140,121,1980,Boroondara,-37.8063,145.0179,Southern Metropolitan,10331
530,Kew,7 Gladstone St,3,h,1565000,S,Jellis,27/6/16,5.6,3101,3,1,1,535,,1947,Boroondara,-37.8027,145.0404,Southern Metropolitan,10331
531,Kew,7 Heather Gr,5,h,2600000,VB,hockingstuart,27/11/16,5.6,3101,5,2,2,674,281,1959,Boroondara,-37.8064,145.0608,Southern Metropolitan,10331
532,Kew,62 Campbell St,4,h,4005000,PI,Marshall,28/5/16,5.6,3101,4,3,3,800,,2009,Boroondara,-37.8022,145.0565,Southern Metropolitan,10331
533,Kew,43 Kellett Gr,3,h,1211000,S,Nelson,28/5/16,5.6,3101,3,1,1,633,,,Boroondara,-37.7916,145.0352,Southern Metropolitan,10331
534,Kew,17 Hartington St,5,h,2800000,PI,Marshall,28/8/16,5.6,3101,5,2,3,920,241,1900,Boroondara,-37.8017,145.0419,Southern Metropolitan,10331
535,Kew East,17 Minogue St,5,h,2100000,VB,Nelson,18/6/16,7.5,3102,5,3,2,695,360,1950,Boroondara,-37.7904,145.0548,Southern Metropolitan,2671
536,Kew East,36 Belford Rd,4,h,1315000,SP,Nelson,24/9/16,7.5,3102,4,2,2,458,200,1930,Boroondara,-37.7981,145.0472,Southern Metropolitan,2671
537,Maidstone,5/16 Omar St,3,t,640000,SP,Biggin,3/12/16,9.2,3012,3,2,2,214,,,Maribyrnong,-37.7806,144.8714,Western Metropolitan,3873
538,Maidstone,25 Carlyle St,3,h,676500,S,Biggin,8/10/16,9.2,3012,3,2,1,250,,,Maribyrnong,-37.7905,144.8762,Western Metropolitan,3873
539,Maidstone,16 Lindenow St,3,h,893000,S,Sweeney,12/11/16,9.2,3012,3,1,3,528,,,Maribyrnong,-37.779,144.8829,Western Metropolitan,3873
540,Maidstone,67 Ballarat Rd,2,h,646000,SP,Jas,13/8/16,9.2,3012,2,1,2,270,95,1900,Maribyrnong,-37.7871,144.8791,Western Metropolitan,3873
541,Maidstone,1/27 Baird St,3,t,728000,S,Sweeney,15/10/16,9.2,3012,3,2,2,218,,,Maribyrnong,-37.7895,144.8723,Western Metropolitan,3873
542,Maidstone,48/48 Eucalyptus Dr,2,u,349000,PI,hockingstuart,16/4/16,9.2,3012,2,1,1,0,69,2011,Maribyrnong,-37.7795,144.8729,Western Metropolitan,3873
543,Maidstone,21 Montgomery St,2,h,600000,S,hockingstuart,18/6/16,9.2,3012,2,1,1,194,,,Maribyrnong,-37.787,144.8654,Western Metropolitan,3873
544,Maidstone,4 Maple St,5,h,1350000,S,Biggin,19/11/16,9.2,3012,5,3,2,527,358,2009,Maribyrnong,-37.7746,144.8727,Western Metropolitan,3873
545,Malvern,19 Gordon Gr,3,h,1950000,S,Jellis,7/5/16,7.4,3144,2,1,1,325,,,Stonnington,-37.8636,145.0301,Southern Metropolitan,4675
546,Malvern,42 Cressy St,2,h,780000,VB,Jellis,14/5/16,7.4,3144,2,0,0,0,,,Stonnington,-37.8502,145.0418,Southern Metropolitan,4675
547,Malvern,8/6 Irving St,2,u,740000,S,Marshall,25/2/17,7.4,3144,2,1,1,0,91,1967,Stonnington,-37.8597,145.0322,Southern Metropolitan,4675
548,Malvern,4/8 Park St,3,u,1000000,VB,Jellis,28/5/16,7.4,3144,3,2,1,176,,,Stonnington,-37.8563,145.0369,Southern Metropolitan,4675
549,Malvern,1/58 Cawkwell St,2,u,584000,S,Gary,28/8/16,7.4,3144,2,1,1,0,74,1971,Stonnington,-37.854,145.041,Southern Metropolitan,4675
550,Malvern East,44 Thurso St,4,h,1300000,S,J,3/9/16,11.2,3145,3,2,2,644,,,Stonnington,-37.8747,145.0836,Southern Metropolitan,8801
551,Malvern East,8 Ash Gr,5,h,4802500,S,Marshall,10/12/16,11.2,3145,5,2,4,837,267,1919,Stonnington,-37.8756,145.0561,Southern Metropolitan,8801
552,Malvern East,1413 Dandenong Rd,5,h,1600000,S,Woodards,15/10/16,11.2,3145,5,2,2,639,,,Stonnington,-37.8915,145.0844,Southern Metropolitan,8801
553,Malvern East,1/14 Durward Rd,4,t,1240000,PI,Jellis,18/3/17,11.2,3145,4,2,2,310,180,1990,Stonnington,-37.8822,145.0837,Southern Metropolitan,8801
554,Malvern East,8a Anderson St,2,h,1420000,S,Marshall,22/8/16,11.2,3145,2,1,1,348,,,Stonnington,-37.8672,145.0432,Southern Metropolitan,8801
555,Malvern East,1/3 Steele St,2,u,536000,S,Rendina,24/9/16,11.2,3145,2,1,1,0,,1960,Stonnington,-37.8713,145.0515,Southern Metropolitan,8801
556,Malvern East,20a Thurso St,3,h,950000,VB,Jellis,28/8/16,11.2,3145,3,1,1,288,132,1999,Stonnington,-37.8752,145.0817,Southern Metropolitan,8801
557,Maribyrnong,3/6 Randall St,3,u,662500,S,Rendina,7/11/16,8.7,3032,3,2,2,202,121,2006,Maribyrnong,-37.768,144.8894,Western Metropolitan,4918
558,Maribyrnong,3/26 Middle Rd,2,t,570000,S,Jas,16/4/16,8.7,3032,3,1,2,98,128,2009,Maribyrnong,-37.7677,144.8925,Western Metropolitan,4918
559,Maribyrnong,20/9 Fabian Ct,2,t,429000,S,Trimson,18/3/17,8.7,3032,2,1,1,83,88,1980,Maribyrnong,-37.7732,144.8927,Western Metropolitan,4918
560,Maribyrnong,31 Forge Cl,3,t,675000,SP,First,22/5/16,8.7,3032,3,2,2,210,,,Maribyrnong,-37.7732,144.879,Western Metropolitan,4918
561,Maribyrnong,28 Blair St,2,t,440000,PI,Rendina,22/8/16,8.7,3032,2,1,2,54,85,2000,Maribyrnong,-37.774,144.8797,Western Metropolitan,4918
562,Maribyrnong,2 Murnong St,4,h,1048700,SP,Brad,23/4/16,8.7,3032,3,2,2,452,245,1999,Maribyrnong,-37.774,144.877,Western Metropolitan,4918
563,Maribyrnong,75 Edgewater Bvd,3,h,820000,PI,Biggin,28/5/16,8.7,3032,3,2,2,203,160,2006,Maribyrnong,-37.7853,144.8972,Western Metropolitan,4918
564,Melbourne,902/16 Liverpool St,1,u,427000,S,Harcourts,3/12/16,2.8,3000,1,1,0,0,,,Melbourne,-37.8111,144.9715,Northern Metropolitan,17496
565,Melbourne,805/300 Swanston St,2,u,665000,S,Purplebricks,7/11/16,2.8,3000,2,1,1,0,80,2004,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496
566,Melbourne,702/108 Flinders St,2,u,675000,VB,Kay,24/9/16,2.8,3000,2,2,1,0,,2014,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496
567,Melbourne,1003/265 Exhibition St,3,u,760000,S,hockingstuart,28/5/16,2.8,3000,2,2,1,0,89,1997,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496
568,Middle Park,287 Richardson St,4,h,3120000,S,Marshall,19/11/16,4.1,3206,4,2,1,182,100,1900,Port Phillip,-37.8518,144.9663,Southern Metropolitan,2019
569,Middle Park,33 Nimmo St,2,h,1920000,S,Marshall,25/2/17,4.1,3206,2,1,0,152,82,1910,Port Phillip,-37.8498,144.9628,Southern Metropolitan,2019
570,Mont Albert,42 View St,4,h,2200000,S,Jellis,13/8/16,11.8,3127,4,2,2,931,199,1930,Whitehorse,-37.8226,145.1103,Eastern Metropolitan,2079
571,Moonee Ponds,25 Buckley St,3,h,1170000,S,Re,8/10/16,6.9,3039,3,1,1,443,102,1930,Moonee Valley,-37.7585,144.928,Western Metropolitan,6232
572,Moonee Ponds,101 Holmes Rd,4,h,1120000,VB,Nelson,8/10/16,6.9,3039,4,1,1,571,138,1915,Moonee Valley,-37.7659,144.9116,Western Metropolitan,6232
573,Moonee Ponds,61 Steele St,4,h,1361500,S,Rendina,10/12/16,6.9,3039,4,1,2,453,145,1920,Moonee Valley,-37.7698,144.9336,Western Metropolitan,6232
574,Moonee Ponds,31 Bowen St,2,h,860000,S,Nelson,11/2/17,6.9,3039,2,1,1,301,80,1920,Moonee Valley,-37.7695,144.9092,Western Metropolitan,6232
575,Moonee Ponds,29 Winchester St,2,h,1015000,S,Nelson,14/5/16,6.9,3039,2,1,1,228,125,1910,Moonee Valley,-37.7685,144.9183,Western Metropolitan,6232
576,Moonee Ponds,83 Scott St,3,t,890500,S,Brad,15/10/16,6.9,3039,3,2,1,213,,1950,Moonee Valley,-37.7631,144.9073,Western Metropolitan,6232
577,Moonee Ponds,22/122 Maribyrnong Rd,2,u,440000,VB,Barry,18/3/17,6.9,3039,2,1,1,0,,,Moonee Valley,-37.7715,144.9155,Western Metropolitan,6232
578,Moonee Ponds,16/51 Buckley St,1,u,265000,VB,Brad,19/11/16,6.9,3039,1,1,1,0,41,1970,Moonee Valley,-37.758,144.9237,Western Metropolitan,6232
579,Moonee Ponds,36 Aberfeldie St,3,h,1725000,PI,Nelson,24/9/16,6.9,3039,3,2,3,596,203,1950,Moonee Valley,-37.7609,144.905,Western Metropolitan,6232
580,Moonee Ponds,36 Scotia St,3,h,850000,S,Nelson,26/7/16,6.9,3039,3,2,1,271,143,1915,Moonee Valley,-37.7682,144.9058,Western Metropolitan,6232
581,Moonee Ponds,2 Parry St,5,h,1740000,S,Brad,27/6/16,6.9,3039,4,1,2,739,155,1930,Moonee Valley,-37.7613,144.9177,Western Metropolitan,6232
582,Moonee Ponds,1/263 Union Rd,3,t,1130000,S,Brad,27/11/16,6.9,3039,3,2,2,217,145,2013,Moonee Valley,-37.7704,144.9162,Western Metropolitan,6232
583,Moonee Ponds,54 Ngarveno St,3,h,1111000,S,Ray,28/8/16,6.9,3039,3,1,2,502,,,Moonee Valley,-37.7693,144.9299,Western Metropolitan,6232
584,Moonee Ponds,3 Victoria St,2,h,822500,S,Nelson,28/8/16,6.9,3039,3,1,1,219,,1900,Moonee Valley,-37.7627,144.9141,Western Metropolitan,6232
585,Moonee Ponds,4/208 Maribyrnong Rd,2,t,800000,S,Nelson,30/7/16,6.9,3039,2,2,2,239,120,1970,Moonee Valley,-37.7708,144.9093,Western Metropolitan,6232
586,Moorabbin,83 Bulli St,4,h,1200000,S,Buxton,8/10/16,14.6,3189,4,2,1,696,214,1955,Kingston,-37.9398,145.0554,Southern Metropolitan,2555
587,Moorabbin,5 Florida Ct,4,h,1385000,S,Gary,14/5/16,14.6,3189,4,2,2,807,,,Kingston,-37.9431,145.0407,Southern Metropolitan,2555
588,Moorabbin,15 Biscop Rd,2,h,1191000,S,C21,27/11/16,14.6,3189,2,1,2,756,97,1950,Kingston,-37.94,145.0449,Southern Metropolitan,2555
589,Moorabbin,17 Horsmunden Rd,4,h,1160000,S,Gary,28/5/16,14.6,3189,4,2,2,588,199,2011,Kingston,-37.9395,145.0477,Southern Metropolitan,2555
590,Moorabbin,24a Franklin St,3,t,800000,S,Buxton,28/8/16,14.6,3189,3,2,1,0,,1999,Kingston,-37.9374,145.0542,Southern Metropolitan,2555
591,Newport,46 River St,4,h,940000,VB,Williams,4/6/16,8.4,3015,3,2,1,379,172,1930,Hobsons Bay,-37.8408,144.8893,Western Metropolitan,5498
592,Newport,4/31 Clyde St,3,h,655800,S,Greg,6/8/16,8.4,3015,2,2,1,178,102,2009,Hobsons Bay,-37.8416,144.8651,Western Metropolitan,5498
593,Newport,65 Charlotte St,3,h,800000,SP,Jas,10/12/16,8.4,3015,3,2,1,0,138,1970,Hobsons Bay,-37.8352,144.8661,Western Metropolitan,5498
594,Newport,21 Tait St,3,h,950000,S,Greg,14/5/16,8.4,3015,2,2,2,281,,1950,Hobsons Bay,-37.8431,144.8845,Western Metropolitan,5498
595,Newport,31 Milford St,2,h,1030000,S,Village,15/10/16,8.4,3015,2,1,2,470,136,1930,Hobsons Bay,-37.8471,144.8769,Western Metropolitan,5498
596,Newport,6 Speight St,4,h,1280000,S,Raine,16/7/16,8.4,3015,4,2,1,458,153,1930,Hobsons Bay,-37.8427,144.879,Western Metropolitan,5498
597,Newport,16 Blenheim Rd,3,h,1176000,S,hockingstuart,18/6/16,8.4,3015,3,1,2,767,111,1960,Hobsons Bay,-37.8466,144.8636,Western Metropolitan,5498
598,Newport,94 Mason St,2,h,801000,SP,Williams,18/6/16,8.4,3015,1,1,1,343,106,1920,Hobsons Bay,-37.8414,144.8752,Western Metropolitan,5498
599,Newport,60 Speight St,3,h,891500,SP,Sweeney,22/8/16,8.4,3015,3,1,0,344,130,1920,Hobsons Bay,-37.8424,144.8754,Western Metropolitan,5498
600,Newport,193 Mason St,3,h,910000,S,Greg,24/9/16,8.4,3015,3,1,2,531,,,Hobsons Bay,-37.8409,144.8663,Western Metropolitan,5498
601,Niddrie,2/49 Hamilton St,2,t,617500,S,Harcourts,10/9/16,11.2,3042,2,1,1,237,,,Moonee Valley,-37.74,144.8851,Western Metropolitan,2291
602,Niddrie,87 Hotham Rd,2,h,657000,S,Barry,12/11/16,11.2,3042,2,2,1,268,104,1950,Moonee Valley,-37.7343,144.8783,Western Metropolitan,2291
603,Niddrie,45 Vaynor St,3,h,710000,S,Nelson,12/11/16,11.2,3042,3,2,1,317,140,1950,Moonee Valley,-37.7449,144.8869,Western Metropolitan,2291
604,Niddrie,98 Haldane Rd,3,h,785000,S,Barry,14/5/16,11.2,3042,3,1,2,620,,,Moonee Valley,-37.7321,144.8771,Western Metropolitan,2291
605,Niddrie,2 Michael Ct,3,t,840000,S,Barry,15/10/16,11.2,3042,3,2,2,374,180,1990,Moonee Valley,-37.7445,144.8834,Western Metropolitan,2291
606,Niddrie,2 Hanson St,3,h,773000,S,Nelson,18/6/16,11.2,3042,3,2,2,403,,,Moonee Valley,-37.7324,144.8765,Western Metropolitan,2291
607,Niddrie,2/50 Jackson St,3,u,700000,S,Nelson,18/6/16,11.2,3042,3,1,1,202,,,Moonee Valley,-37.7389,144.887,Western Metropolitan,2291
608,Niddrie,38 Garnet St,4,h,1160000,PI,Paul,28/5/16,11.2,3042,4,3,2,424,,,Moonee Valley,-37.748,144.8873,Western Metropolitan,2291
609,North Melbourne,2/63 Brougham St,2,u,726000,S,Jellis,4/3/17,2.3,3051,2,1,1,0,64,1970,Melbourne,-37.7936,144.9426,Northern Metropolitan,6821
610,North Melbourne,6/55 Provost St,2,u,640000,S,MICM,8/10/16,2.3,3051,2,2,1,0,84,2006,Melbourne,-37.802,144.9459,Northern Metropolitan,6821
611,North Melbourne,44 Byron St,2,h,990000,S,Nelson,15/10/16,2.3,3051,2,2,1,584,120,2008,Melbourne,-37.8016,144.9508,Northern Metropolitan,6821
612,North Melbourne,509/30 Wreckyn St,2,u,620000,S,LITTLE,19/11/16,2.3,3051,2,1,2,0,69,2004,Melbourne,-37.8004,144.9544,Northern Metropolitan,6821
613,North Melbourne,443 Abbotsford St,2,h,1200000,SP,Jellis,24/9/16,2.3,3051,2,2,1,146,,,Melbourne,-37.7959,144.9464,Northern Metropolitan,6821
614,North Melbourne,306/350 Victoria St,2,u,630000,SP,Alexkarbon,24/9/16,2.3,3051,2,1,1,0,75,2002,Melbourne,-37.8055,144.9547,Northern Metropolitan,6821
615,North Melbourne,21/70 Oshanassy St,2,u,560000,S,Jellis,25/2/17,2.3,3051,2,1,1,2300,68,1975,Melbourne,-37.7997,144.9472,Northern Metropolitan,6821
616,Northcote,5/162 Westgarth St,2,u,592000,S,Collins,4/3/17,5.5,3070,2,1,2,0,,,Darebin,-37.7828,145.0096,Northern Metropolitan,11364
617,Northcote,99 Christmas St,2,h,1575000,SA,McGrath,7/11/16,5.5,3070,2,1,3,607,126,1945,Darebin,-37.7668,145.0149,Northern Metropolitan,11364
618,Northcote,6 Brooke St,3,h,1655000,SP,Jellis,8/10/16,5.5,3070,3,1,3,472,101,1924,Darebin,-37.7765,145.0027,Northern Metropolitan,11364
619,Northcote,32 Stott St,4,h,905000,S,Nelson,8/10/16,5.5,3070,2,1,1,314,,,Darebin,-37.763,144.9978,Northern Metropolitan,11364
620,Northcote,12/20 Ross St,1,u,435000,S,Nelson,10/9/16,5.5,3070,1,1,2,0,55,1970,Darebin,-37.7842,144.9991,Northern Metropolitan,11364
621,Northcote,33 Spencer St,4,h,1340000,S,Leased,10/12/16,5.5,3070,4,1,2,0,,,Darebin,-37.763,144.9966,Northern Metropolitan,11364
622,Northcote,1/68 Bridge St,1,u,312000,S,Harcourts,14/5/16,5.5,3070,1,1,1,0,39,1960,Darebin,-37.7783,144.9954,Northern Metropolitan,11364
623,Northcote,36 Tanner Gr,3,h,926000,S,hockingstuart,14/5/16,5.5,3070,3,1,2,380,,,Darebin,-37.7709,145.0105,Northern Metropolitan,11364
624,Northcote,7/7 Simpson St,2,u,430000,PI,Nelson,15/10/16,5.5,3070,2,1,1,0,,1970,Darebin,-37.7813,145.0062,Northern Metropolitan,11364
625,Northcote,338 Separation St,2,t,701000,SP,Nelson,17/9/16,5.5,3070,2,1,1,0,109,2000,Darebin,-37.7711,145.013,Northern Metropolitan,11364
626,Northcote,22 Ellesmere St,2,h,875000,S,Nelson,18/6/16,5.5,3070,2,1,1,0,,,Darebin,-37.7736,145.0074,Northern Metropolitan,11364
627,Northcote,8 Reid St,2,h,1095000,S,Ray,22/8/16,5.5,3070,2,1,2,306,86,1910,Darebin,-37.7644,145.004,Northern Metropolitan,11364
628,Northcote,1/13 Kellett St,2,u,770000,S,Nelson,24/9/16,5.5,3070,2,1,1,129,115,1975,Darebin,-37.7668,145.0063,Northern Metropolitan,11364
629,Northcote,130 Mitchell St,3,h,1090000,SP,Miles,24/9/16,5.5,3070,3,1,2,318,,,Darebin,-37.7733,145.0078,Northern Metropolitan,11364
630,Northcote,13/200 Westgarth St,1,u,400000,VB,Nelson,27/11/16,5.5,3070,1,1,1,0,43,2014,Darebin,-37.7831,145.0124,Northern Metropolitan,11364
631,Northcote,17/203 Clarke St,2,u,570000,VB,Woodards,28/8/16,5.5,3070,2,1,1,0,10,1970,Darebin,-37.7766,144.9988,Northern Metropolitan,11364
632,Northcote,70 James St,3,h,1450000,PI,McGrath,28/8/16,5.5,3070,3,1,1,489,,1900,Darebin,-37.7756,145.0002,Northern Metropolitan,11364
633,Northcote,43 Salisbury Gr,4,h,1300000,VB,Jellis,28/8/16,5.5,3070,4,3,2,187,,1970,Darebin,-37.7642,145.0025,Northern Metropolitan,11364
634,Northcote,106 Christmas St,3,t,1130000,S,Nelson,30/7/16,5.5,3070,3,2,1,229,,,Darebin,-37.7671,145.0153,Northern Metropolitan,11364
635,Northcote,118 Westgarth St,3,h,1500000,PI,Jellis,30/7/16,5.5,3070,4,1,8,727,,1900,Darebin,-37.7825,145.0072,Northern Metropolitan,11364
636,Oak Park,40 Winifred St,4,h,865000,S,Brad,3/12/16,11.5,3046,4,1,2,696,160,1955,Moreland,-37.7209,144.9158,Northern Metropolitan,2651
637,Oak Park,1/9 Cartwright St,2,u,476000,S,hockingstuart,6/8/16,11.5,3046,2,1,1,189,85,1995,Moreland,-37.7151,144.9191,Northern Metropolitan,2651
638,Oak Park,44 Devereaux St,3,h,706000,PI,Eview,7/11/16,11.5,3046,3,1,0,715,111,1960,Moreland,-37.7143,144.9092,Northern Metropolitan,2651
639,Oak Park,11 Murphy St,4,h,920000,S,Ray,7/11/16,11.5,3046,4,2,2,780,179,1965,Moreland,-37.7168,144.9171,Northern Metropolitan,2651
640,Oak Park,5/4 Ethel St,3,u,358500,S,Jason,10/9/16,11.5,3046,3,1,1,0,,,Moreland,-37.7233,144.9168,Northern Metropolitan,2651
641,Oak Park,40 Devereaux St,4,h,840000,SP,Nelson,18/6/16,11.5,3046,4,1,2,704,196,1960,Moreland,-37.7143,144.9096,Northern Metropolitan,2651
642,Oakleigh South,25 Luntar Rd,3,h,1080000,S,Woodards,12/11/16,14.7,3167,3,2,2,716,,,Kingston,-37.9261,145.083,South-Eastern Metropolitan,3692
643,Oakleigh South,19 Reid St,2,h,778000,S,Ray,30/7/16,14.7,3167,2,1,1,806,89,1965,Monash,-37.9112,145.0873,South-Eastern Metropolitan,3692
644,Parkville,168 Gatehouse St,4,h,1717500,S,Collins,19/11/16,2.6,3052,4,2,1,165,,,Melbourne,-37.7933,144.9556,Northern Metropolitan,2309
645,Parkville,66 Fitzgibbon St,2,h,1851000,S,Marshall,22/8/16,2.6,3052,2,1,1,172,,1900,Melbourne,-37.7948,144.9571,Northern Metropolitan,2309
646,Parkville,12/196 The Avenue,1,u,526000,SP,Nelson,25/2/17,2.6,3052,1,1,1,2488,50,1995,Melbourne,-37.7829,144.9574,Northern Metropolitan,2309
647,Parkville,187 Park Dr,3,h,2236000,S,Collins,27/6/16,2.6,3052,4,2,1,154,196,1890,Melbourne,-37.7934,144.9562,Northern Metropolitan,2309
648,Pascoe Vale,24 Alexandra St,3,h,731000,S,Brad,4/6/16,9.9,3044,3,1,2,568,111,1960,Moreland,-37.7178,144.9422,Northern Metropolitan,7485
649,Pascoe Vale,5/19 Raeburn St,2,u,452000,S,hockingstuart,7/5/16,9.9,3044,2,1,1,159,87,1990,Moreland,-37.7291,144.9446,Northern Metropolitan,7485
650,Pascoe Vale,60 Kent Rd,2,h,741000,S,Raine,7/11/16,9.9,3044,2,1,2,520,300,2006,Moreland,-37.7204,144.9446,Northern Metropolitan,7485
651,Pascoe Vale,34 Essex St,3,h,775000,S,Brad,10/9/16,9.9,3044,3,1,1,406,103,1960,Moreland,-37.7269,144.9447,Northern Metropolitan,7485
